iter	TotalF1	MultiClass
394	1	0.09403865501
395	1	0.09376445029
396	1	0.09351779416
397	1	0.09326714548
398	1	0.09304563643
399	1	0.0927764511
400	1	0.09252514286
401	1	0.0923217593
402	1	0.09202689379
403	1	0.0917684544
404	1	0.09151870253
405	1	0.09129801231
406	1	0.09104317946
407	1	0.09079018876
408	1	0.09055098546
409	1	0.09032066072
410	1	0.09008524099
411	1	0.08981877288
412	1	0.08956308392
413	1	0.08935041216
414	1	0.08914503415
415	1	0.08895813487
416	1	0.08873917411
417	1	0.08855229644
418	1	0.08832563773
419	1	0.08812987238
420	1	0.08787598485
421	1	0.08762372394
422	1	0.08738087585
423	1	0.08716732524
424	1	0.08692317181
425	1	0.08671280418
426	1	0.08652291941
427	1	0.08633597022
428	1	0.08611678885
429	1	0.08586939268
430	1	0.08570276476
431	1	0.08548704058
432	1	0.08529090675
433	1	0.0850862076
434	1	0.08486453947
435	1	0.08463693021
436	1	0.08441374835
437	1	0.08423181282
438	1	0.08401768162
439	1	0.08384358008
440	1	0.08368505854
441	1	0.0834996778
442	1	0.08328397796
443	1	0.08307106593
444	1	0.08284952822
445	1	0.08264009051
446	1	0.08244452257
447	1	0.08223542582
448	1	0.08209060876
449	1	0.08190452477
450	1	0.08171216362
451	1	0.08154112483
452	1	0.08136367311
453	1	0.08119155897
454	1	0.08099155874
455	1	0.08076881924
456	1	0.08055621319
457	1	0.08037092357
458	1	0.08019100309
459	1	0.08003157446
460	1	0.07985241401
461	1	0.07968078269
462	1	0.07948593298
463	1	0.07930387242
464	1	0.07913974854
465	1	0.07893673436
466	1	0.07871226072
467	1	0.07851970807
468	1	0.07831887098
469	1	0.07812210614
470	1	0.07796987653
471	1	0.07784969306
472	1	0.07764164733
473	1	0.07744792431
474	1	0.07729926089
475	1	0.07713282897
476	1	0.07695634495
477	1	0.0767763135
478	1	0.076597119
479	1	0.07647031481
480	1	0.07630085786
481	1	0.07615402921
482	1	0.07596796656
483	1	0.07580050002
484	1	0.07560885403
485	1	0.07541526389
486	1	0.07523208238
487	1	0.0750338413
488	1	0.07486881274
489	1	0.07470722267
490	1	0.07452503221
491	1	0.07437520705
492	1	0.07420879193
493	1	0.07406420129
494	1	0.07386881975
495	1	0.07371058736
496	1	0.07353348971
497	1	0.07334318745
498	1	0.07321548426
499	1	0.07303723846
500	1	0.07287617052
501	1	0.07272843902
502	1	0.07254195896
503	1	0.07236434751
504	1	0.0721968285
505	1	0.07200498084
506	1	0.07183534026
507	1	0.07166309581
508	1	0.07152685034
509	1	0.07131065845
510	1	0.07117027831
511	1	0.07101873017
512	1	0.07089223326
513	1	0.07072929592
514	1	0.07056526654
515	1	0.07041222559
516	1	0.07026839862
517	1	0.07009475936
518	1	0.06996552282
519	1	0.06981695177
520	1	0.06967446369
521	1	0.06957414885
522	1	0.06941289861
523	1	0.06922579406
